index,code,country_code,total_pop,destination,destination_code,origin,origin_code,total_mig,life,gni,major1,major1_perc,major2,major2_perc,remit
232,320,GTM,18406359,World,900,Guatemala,320,1460232,72.602,12458.604,Christians,0.919354838709677,,,21644521520
23468,320,GTM,18406359,Guatemala,320,World,900,92732,72.602,12458.604,Christians,0.919354838709677,,,21644521520
243,218,ECU,18135478,World,900,Ecuador,218,1243065,77.392,13986.39698,Christians,0.884900284900285,,,6544355900
24988,218,ECU,18135478,Ecuador,218,World,900,747749,77.392,13986.39698,Christians,0.884900284900285,,,6544355900
198,528,NLD,17993485,World,900,Netherlands,528,631391,82.158,68344.30826,Unaffiliated,0.540816326530612,Christians,0.350907029478458,4719400104
20704,528,NLD,17993485,Netherlands,528,World,900,2956518,82.158,68344.30826,Unaffiliated,0.540816326530612,Christians,0.350907029478458,4719400104
118,116,KHM,17638801,World,900,Cambodia,116,778793,70.668,4931.016842,Buddhists,0.97071129707113,,,2827917512
12113,116,KHM,17638801,Cambodia,116,World,900,83925,70.668,4931.016842,Buddhists,0.97071129707113,,,2827917512
47,716,ZWE,16634373,World,900,Zimbabwe,716,1519324,62.775,3511.463215,Christians,0.871860914359305,,,
7164,716,ZWE,16634373,Zimbabwe,716,World,900,429108,62.775,3511.463215,Christians,0.871860914359305,,,
79,324,GIN,14754785,World,900,Guinea,324,508203,60.74,3494.347723,Muslims,0.868362004487659,,,616420000
9414,324,GIN,14754785,Guinea,324,World,900,117416,60.74,3494.347723,Muslims,0.868362004487659,,,616420000
73,204,BEN,14462724,World,900,Benin,204,726530,60.774,3805.527516,Christians,0.532517214996174,Muslims,0.313695485845448,235644897
9153,204,BEN,14462724,Benin,204,World,900,418202,60.774,3805.527516,Christians,0.532517214996174,Muslims,0.313695485845448,235644897
40,646,RWA,14256567,World,900,Rwanda,646,539046,67.785,2970.559461,Christians,0.970160673297628,,,
6856,646,RWA,14256567,Rwanda,646,World,900,513316,67.785,2970.559461,Christians,0.970160673297628,,,
28,108,BDI,14047786,World,900,Burundi,108,576530,63.651,858.9155681,Christians,0.949286846275753,,,236886516
6441,108,BDI,14047786,Burundi,108,World,900,387101,63.651,858.9155681,Christians,0.949286846275753,,,236886516
239,68,BOL,12413315,World,900,Bolivia (Plurinational State of),68,783473,68.581,9445.244868,Christians,0.88917089678511,,,1284905130
24359,68,BOL,12413315,Bolivia (Plurinational State of),68,World,900,183234,68.581,9445.244868,Christians,0.88917089678511,,,1284905130
64,788,TUN,12277109,World,900,Tunisia,788,715249,76.508,12011.38785,Muslims,0.993316624895572,,,
8226,788,TUN,12277109,Tunisia,788,World,900,63201,76.508,12011.38785,Muslims,0.993316624895572,,,
43,728,SSD,11943408,World,900,South Sudan,728,3168836,57.617,688.3472771,Christians,0.604672897196262,Other_religions,0.32803738317757,1138504150
6961,728,SSD,11943408,South Sudan,728,World,900,914001,57.617,688.3472771,Christians,0.604672897196262,Other_religions,0.32803738317757,1138504150
192,56,BEL,11858610,World,900,Belgium,56,521884,82.115,63582.47535,Christians,0.509532062391681,Unaffiliated,0.389948006932409,15480994451
20002,56,BEL,11858610,Belgium,56,World,900,2349032,82.115,63582.47535,Christians,0.509532062391681,Unaffiliated,0.389948006932409,15480994451
216,332,HTI,11772557,World,900,Haiti,332,2017692,64.936,2934.925802,Christians,0.887900355871886,,,4111002565
22300,332,HTI,11772557,Haiti,332,World,900,19581,64.936,2934.925802,Christians,0.887900355871886,,,4111002565
136,400,JOR,11552876,World,900,Jordan,400,659204,77.814,9221.872358,Muslims,0.970561177552898,,,
13324,400,JOR,11552876,Jordan,400,World,900,5280168,77.814,9221.872358,Muslims,0.970561177552898,,,
